absorb_side,center_ratio,it_left,it_right,max_actual_bond,max_bond,max_entropy,max_links,max_required_bond,mean_entropy,mean_required_bond,num_tensors,stage,step,time,total_elems,total_links,total_shapes,u_consumed,u_consumed_total
left,0.4,32,48,64,64,5.716069731426931,4,64,3.82194563357442,20.869565217391305,24,absorbing,80,6.822443125303835,57248,94,1056,0,0
left,0.4,33,48,64,64,5.716069731426932,4,64,3.7862025054390402,20.695652173913043,24,absorbing,81,6.9095004592090845,58272,94,1048,0,0
right,0.4,33,49,64,64,5.716069731426931,4,64,3.8396700727955078,21.73913043478261,24,absorbing,82,7.001175459008664,63648,94,1096,0,0
right,0.4,33,50,64,64,5.71606973142693,4,64,3.8035117081966687,21.73913043478261,24,absorbing,83,7.090640250127763,63648,94,1096,0,0
right,0.4,33,51,64,64,5.716069731426931,4,64,3.8035117081966687,21.73913043478261,24,absorbing,84,7.1778695420362055,63648,94,1096,0,0
right,0.4,33,52,64,64,5.71606973142693,4,64,3.8035117081966687,21.73913043478261,24,absorbing,85,7.268015583977103,63648,94,1096,0,0
right,0.4,33,53,64,64,5.71606973142693,4,64,3.8178537520549414,21.73913043478261,24,absorbing,86,7.356026167050004,63648,94,1096,0,0
right,0.4,33,54,64,64,5.716069731426931,4,64,3.8611725794059795,22.08695652173913,24,absorbing,87,7.443950250279158,65184,94,1112,0,0
right,0.4,33,55,64,64,5.71606973142693,4,64,3.8611725794059795,22.08695652173913,24,absorbing,88,7.532409750390798,65184,94,1112,0,0
right,0.4,33,56,64,64,5.716069731426931,4,64,3.86117257940598,22.08695652173913,24,absorbing,89,7.620716250035912,65184,94,1112,0,0
right,0.4,33,57,64,64,5.716067346382439,4,64,3.8618580947954477,22.695652173913043,24,absorbing,90,7.710000584367663,67104,94,1142,0,0
right,0.4,33,58,64,64,5.716064955327708,4,64,3.8618156246228352,22.652173913043477,24,absorbing,91,7.799792500212789,66976,94,1140,0,0
right,0.4,33,59,64,64,5.716063548748396,4,64,3.861772846294009,22.608695652173914,24,absorbing,92,7.89001554204151,66848,94,1138,0,0
right,0.4,33,60,64,64,5.71605666995351,4,64,3.862409669110028,23.043478260869566,24,absorbing,93,7.983817667234689,69600,94,1160,0,0
right,0.4,33,61,64,64,5.716055311346095,4,64,3.8758613301408453,23.217391304347824,24,absorbing,94,8.083452292252332,70048,94,1166,0,0
right,0.4,33,62,64,64,5.996117637422364,4,64,3.9626813821660916,25.26086956521739,24,absorbing,95,8.18143237521872,79008,94,1260,0,0
right,0.4,33,63,64,64,5.998640853001742,4,64,4.0495214423958314,27.304347826086957,24,absorbing,96,8.296788167208433,94112,94,1354,0,0
right,0.4,33,64,64,64,5.999995886985013,4,64,4.133876707708915,29.73913043478261,24,absorbing,97,8.440177959389985,111264,94,1464,0,0
left,0.4,34,64,64,64,5.999995886985013,4,64,4.2256430206715345,32.52173913043478,24,absorbing,98,8.593950292095542,129696,94,1592,0,0
right,0.4,34,65,64,64,5.999999802036832,4,64,4.288354499310158,33.21739130434783,24,absorbing,99,8.790931000374258,145056,94,1688,0,0
right,0.4,34,66,64,64,5.999999809709664,4,64,4.308965061419885,33.91304347826087,24,absorbing,100,9.038321709260345,141984,94,1656,0,0
right,0.4,34,67,64,64,5.999999807510567,4,64,4.238867189042369,32.52173913043478,24,absorbing,101,9.272394209168851,131744,94,1592,0,0
right,0.4,34,68,64,64,5.999920579659602,4,64,4.24600494325826,33.17391304347826,24,absorbing,102,9.509379084222019,134496,94,1622,0,0
right,0.4,34,69,64,64,5.999922246682098,4,64,4.306176282660112,34.69565217391305,24,absorbing,103,9.718074917327613,145056,94,1702,0,0
right,0.4,34,70,64,64,5.999917048815002,4,64,4.351653969636291,33.91304347826087,24,absorbing,104,9.933137209154665,143520,94,1672,0,0
right,0.4,34,71,64,64,5.999917055652103,4,64,4.354385572613096,34.608695652173914,24,absorbing,105,10.12704845936969,150240,94,1694,0,0
right,0.4,34,72,64,64,5.999917059344224,4,64,4.29268510025211,33.21739130434783,24,absorbing,106,10.324921250343323,139424,94,1624,0,0
right,0.4,34,73,64,64,5.999916799853615,4,64,4.358962057264255,33.91304347826087,24,absorbing,107,10.522744792047888,143520,94,1656,0,0
right,0.4,34,74,64,64,5.999854517789607,4,64,4.3502025631905115,33.91304347826087,24,absorbing,108,10.721522834151983,143520,94,1656,0,0
left,0.4,35,74,64,64,5.999996601067072,4,64,4.435866544392485,36.0,24,absorbing,109,10.919465084094554,157856,94,1752,0,0
left,0.4,36,74,64,64,5.9999999236034665,4,64,4.192923117173453,37.26086956521739,24,absorbing,110,11.115696792025119,174240,94,1816,0,0
left,0.4,37,74,64,64,5.99999992360315,4,64,4.194335782015889,37.21739130434783,24,absorbing,111,11.33115329220891,173088,94,1810,0,0
left,0.4,38,74,64,64,5.99999992360298,4,64,4.203974881951491,38.56521739130435,24,absorbing,112,11.538089584093541,182944,94,1872,0,0
left,0.4,39,74,64,64,5.999999923602783,4,64,4.203877956164739,38.52173913043478,24,absorbing,113,11.771408375352621,182560,94,1870,0,0
left,0.4,40,74,64,64,5.999999923602562,4,64,4.203736044605639,38.47826086956522,24,absorbing,114,11.99007449997589,182176,94,1868,0,0
left,0.4,41,74,64,64,5.999999923602244,4,64,4.1607630043194375,37.08695652173913,24,absorbing,115,12.226195709314197,169504,94,1802,0,0
left,0.4,42,74,64,64,5.999999923602244,4,64,4.160468567252911,37.08695652173913,24,absorbing,116,12.446649709250778,169504,94,1802,0,0
left,0.4,43,74,64,64,5.999999923602244,4,64,4.160468567252911,37.08695652173913,24,absorbing,117,12.652955417055637,169504,94,1802,0,0
left,0.4,44,74,64,64,5.999999923602244,4,64,4.160453874022771,37.08695652173913,24,absorbing,118,12.870039209257811,169504,94,1802,0,0
left,0.4,45,74,64,64,5.999999923602244,4,64,4.160453874022771,37.08695652173913,24,absorbing,119,13.08156783413142,169504,94,1802,0,0
left,0.4,46,74,64,64,5.999999923602244,4,64,4.16045387402277,37.08695652173913,24,absorbing,120,13.292658959049731,169504,94,1802,0,0
left,0.4,47,74,64,64,5.999999920830778,4,64,4.160340661095139,37.34782608695652,24,absorbing,121,13.507015542127192,172192,94,1816,0,0
left,0.4,48,74,64,64,5.999999923602165,4,64,4.160310081525571,37.30434782608695,24,absorbing,122,13.720166709274054,171808,94,1814,0,0
left,0.4,49,74,64,64,5.999999884916434,4,64,4.1428761685572235,37.17391304347826,24,absorbing,123,13.948410459328443,171020,94,1810,0,0
left,0.4,50,74,64,64,5.999999865443968,4,64,4.100008338528034,36.30434782608695,24,absorbing,124,14.15709233423695,165948,94,1772,0,0
left,0.4,51,74,64,64,5.999999892904532,4,64,4.0995840423275745,36.17391304347826,24,absorbing,125,14.366816125344485,164704,94,1764,0,0
left,0.4,52,74,64,64,5.999999923594894,4,64,4.099284138144009,36.130434782608695,24,absorbing,126,14.572713792324066,164000,94,1760,0,0
left,0.4,53,74,64,64,5.99999989329562,4,64,4.099162794370614,36.08695652173913,24,absorbing,127,14.77581045916304,163616,94,1758,0,0
left,0.4,54,74,64,64,5.999999866899207,4,64,4.0990412262572775,36.04347826086956,24,absorbing,128,14.978317542001605,163232,94,1756,0,0
left,0.4,55,74,64,64,5.999999893290626,4,64,4.098919106940167,36.0,24,absorbing,129,15.182198792230338,162848,94,1754,0,0
left,0.4,56,74,64,64,5.99999987631287,4,64,4.072366626290477,35.65217391304348,24,absorbing,130,15.400912167038769,161376,94,1742,0,0
left,0.4,57,74,64,64,5.99999987373366,4,64,4.072158134651699,35.65217391304348,24,absorbing,131,15.600928750354797,160416,94,1736,0,0
left,0.4,58,74,64,64,5.999999873971747,4,64,4.071785429724332,35.65217391304348,24,absorbing,132,15.80391575023532,160416,94,1736,0,0
left,0.4,59,74,64,64,5.999999873971749,4,64,4.071785480361518,35.65217391304348,24,absorbing,133,16.010049417149276,160416,94,1736,0,0
left,0.4,60,74,64,64,5.999999873971818,4,64,4.0720430743331955,35.65217391304348,24,absorbing,134,16.21481441706419,160416,94,1736,0,0
left,0.4,61,74,64,64,5.999999873971818,4,64,4.0720430743331955,35.65217391304348,24,absorbing,135,16.418471000157297,160416,94,1736,0,0
left,0.4,62,74,64,64,5.999999873971818,4,64,4.0720430743331955,35.65217391304348,24,absorbing,136,16.619969959370792,160416,94,1736,0,0
left,0.4,63,74,64,64,5.999999874086223,4,64,4.071641521144872,35.65217391304348,24,absorbing,137,16.82413816731423,160416,94,1736,0,0
left,0.4,64,74,64,64,5.999999874086223,4,64,4.071641521144872,35.65217391304348,24,absorbing,138,17.029998917132616,160416,94,1736,0,0
left,0.4,65,74,64,64,5.999999874086223,4,64,4.071641521144872,35.65217391304348,24,absorbing,139,17.234527667053044,160416,94,1736,0,0
left,0.4,66,74,64,64,5.999999885970979,4,64,4.0618732967559845,35.65217391304348,24,absorbing,140,17.446374125313014,160416,94,1736,0,0
left,0.4,67,74,64,64,5.999999887382252,4,64,4.035247125193268,35.47826086956522,24,absorbing,141,17.68140416732058,159432,94,1730,0,0
left,0.4,68,74,64,64,5.9999993967707645,4,64,4.014923779420394,34.78260869565217,24,absorbing,142,17.91491954214871,156180,94,1706,0,0
left,0.4,69,74,64,64,5.9999988629284005,4,64,4.048505244619933,35.130434782608695,24,absorbing,143,18.140857875347137,157852,94,1722,0,0
left,0.4,70,74,64,64,5.999998700890923,4,64,4.102243654870606,34.95652173913044,24,absorbing,144,18.374518709257245,150240,94,1704,0,0
left,0.4,71,74,64,64,5.999998700884461,4,64,4.176099054629309,37.04347826086956,24,absorbing,145,18.57495441706851,168672,94,1800,0,0
left,0.4,72,74,64,64,5.99999870087546,4,64,4.170887448302813,37.04347826086956,24,absorbing,146,18.803880917374045,168672,94,1800,0,0
left,0.4,73,74,64,64,5.999998700875459,4,64,4.170887448302811,37.04347826086956,24,absorbing,147,19.018718250095844,168672,94,1800,0,0
left,0.4,74,74,64,64,5.999999918110717,4,64,4.003112489569262,31.608695652173914,24,absorbing,148,19.27660791715607,170656,94,1808,0,0
left,0.4,75,74,64,64,5.999999918188877,4,64,4.105707330376031,33.56521739130435,24,absorbing,149,19.507005834020674,147392,94,1666,0,0
left,0.4,76,74,64,64,5.999999915310305,4,64,4.105567190211992,33.391304347826086,24,absorbing,150,19.69432062515989,142608,94,1638,0,0
left,0.4,77,74,64,64,5.9999999086705245,4,64,4.105458037585021,33.21739130434783,24,absorbing,151,19.87738645914942,141416,94,1630,0,0
left,0.4,78,74,64,64,5.9999998863241615,4,64,4.178711626905323,35.30434782608695,24,absorbing,152,20.10047066723928,155808,94,1720,0,0
left,0.4,79,74,64,64,5.999999886892716,4,64,4.1711453472828826,35.30434782608695,24,absorbing,153,20.325266250409186,155808,94,1720,0,0
left,0.4,80,74,64,64,5.825975518272007,4,64,4.04306731887501,30.043478260869566,24,absorbing,154,20.574572084005922,155808,94,1720,0,0
left,0.4,81,74,64,64,5.825975516735937,4,64,4.0430399753182735,30.043478260869566,24,absorbing,155,20.764606709126383,118624,94,1478,0,0
left,0.4,82,74,64,64,5.825975516735938,4,64,4.0430399753182735,30.043478260869566,24,absorbing,156,20.931863417383283,118624,94,1478,0,0
left,0.4,83,74,64,64,5.825975516735938,4,64,4.043039975318274,30.043478260869566,24,absorbing,157,21.097984125372022,118624,94,1478,0,0
left,0.4,84,74,64,64,5.825975516735937,4,64,4.043149723875544,30.043478260869566,24,absorbing,158,21.265987834427506,118624,94,1478,0,0
left,0.4,85,74,64,64,5.825975516735937,4,64,4.043149723875544,30.043478260869566,24,absorbing,159,21.43278875015676,118624,94,1478,0,0
left,0.4,86,74,64,64,5.825975516735937,4,64,4.043149723875544,30.043478260869566,24,absorbing,160,21.59623087523505,118624,94,1478,0,0
left,0.4,87,74,64,64,5.825975516735936,4,64,4.081793793080868,30.73913043478261,24,absorbing,161,21.76401862502098,121184,94,1510,0,0
left,0.4,88,74,64,64,5.825975516735937,4,64,4.081793793080868,30.73913043478261,24,absorbing,162,21.926997834350914,121184,94,1510,0,0
left,0.4,89,74,64,64,5.825975516735937,4,64,4.081793793080868,30.73913043478261,24,absorbing,163,22.091073209419847,121184,94,1510,0,0
left,0.4,90,74,64,64,5.825975516735937,4,64,4.081793793080868,30.73913043478261,24,absorbing,164,22.251676292158663,121184,94,1510,0,0
left,0.4,91,74,64,64,5.825975516735936,4,64,4.04207840287837,30.043478260869566,24,absorbing,165,22.41885529225692,118624,94,1478,0,0
left,0.4,92,74,64,64,5.825975516735937,4,64,4.042078402878372,30.043478260869566,24,absorbing,166,22.57896662503481,118624,94,1478,0,0
left,0.4,93,74,64,64,5.825975516735938,4,64,4.042078402878372,30.043478260869566,24,absorbing,167,22.740322375204414,118624,94,1478,0,0
left,0.4,94,74,64,64,5.825975516735937,4,64,4.0420784028783725,30.043478260869566,24,absorbing,168,22.905305542051792,118624,94,1478,0,0
left,0.4,95,74,64,64,5.825975516735937,4,64,4.0420784028783725,30.043478260869566,24,absorbing,169,23.0683334171772,118624,94,1478,0,0
left,0.4,96,74,64,64,5.825975516735938,4,64,4.042078402878372,30.043478260869566,24,absorbing,170,23.233653250150383,118624,94,1478,0,0
right,0.4,96,75,64,64,5.825975516735938,4,64,4.144903541393535,32.82608695652174,24,absorbing,171,23.34762354241684,135520,94,1606,0,0
right,0.4,96,76,64,64,5.825975516735937,4,64,4.204627260543388,34.91304347826087,24,absorbing,172,23.47535095922649,150880,94,1702,0,0
right,0.4,96,77,64,64,5.552079185621135,4,64,4.049816890617793,32.08695652173913,24,absorbing,173,23.607129792217165,126304,94,1574,0,0
right,0.4,96,78,64,64,5.363546109153032,4,64,3.9675546736971548,30.869565217391305,24,absorbing,174,23.71224741730839,118816,94,1524,0,0
right,0.4,96,79,64,64,5.363546109153285,4,64,3.9760374926721687,30.695652173913043,24,absorbing,175,23.79619887517765,117248,94,1516,0,0
right,0.4,96,80,64,64,5.363546109153714,4,64,3.976101763361114,30.565217391304348,24,absorbing,176,23.876957708969712,115796,94,1508,0,0
right,0.4,96,81,64,64,5.36354610915415,4,64,4.036617026680729,31.434782608695652,24,absorbing,177,23.957867542281747,118976,94,1548,0,0
right,0.4,96,82,64,64,5.664006508762385,4,64,4.160452422535427,33.26086956521739,24,absorbing,178,24.043668917380273,125616,94,1630,0,0
right,0.4,96,83,64,64,5.663944487936888,4,64,4.281551929371515,35.91304347826087,24,absorbing,179,24.133109375368804,148144,94,1752,0,0
right,0.4,96,84,64,64,5.6639321050511215,4,64,4.281444521393629,35.82608695652174,24,absorbing,180,24.252866042312235,147492,94,1748,0,0
right,0.4,96,85,64,64,5.6638962615134165,4,64,4.281286972707586,35.69565217391305,24,absorbing,181,24.374513500370085,146496,94,1742,0,0
right,0.4,96,86,64,64,5.825740023216277,4,64,4.199660869168795,31.82608695652174,24,absorbing,182,24.496139083988965,143400,94,1726,0,0
right,0.4,96,87,64,64,5.82546348137075,4,64,4.242539039710098,32.608695652173914,24,absorbing,183,24.608458667062223,124512,94,1618,0,0
right,0.4,96,88,64,64,5.825972150430209,4,64,4.236465812778444,29.17391304347826,24,absorbing,184,24.7945747920312,94832,94,1446,0,0
right,0.4,96,89,64,64,5.825972118031993,4,64,4.192877981446771,27.73913043478261,24,absorbing,185,24.88011741731316,81552,94,1374,0,0
right,0.4,96,90,64,64,5.825972118078837,4,64,4.191827332626767,27.73913043478261,24,absorbing,186,24.945101459044963,81216,94,1372,0,0
right,0.4,96,91,64,64,5.825972118078836,4,64,4.235297268519673,28.434782608695652,24,absorbing,187,25.01024299999699,84288,94,1404,0,0
right,0.4,96,92,64,64,5.825972118309915,4,64,4.252504627502864,29.82608695652174,24,absorbing,188,25.07805462507531,92480,94,1468,0,0
right,0.4,96,93,64,64,5.825972118301332,4,64,4.322092572840304,31.217391304347824,24,absorbing,189,25.16066533420235,108864,94,1532,0,0
right,0.4,96,94,64,64,5.825972120162884,4,64,4.223642311841656,29.043478260869566,24,absorbing,190,25.25622708396986,108864,94,1532,0,0
right,0.4,96,95,64,64,5.825972120156553,4,64,4.266225127303731,30.347826086956523,24,absorbing,191,25.33317391714081,104044,94,1496,0,0
right,0.4,96,96,64,64,5.825972120156717,4,64,4.2661093036489035,30.347826086956523,24,absorbing,192,25.41420550039038,103584,94,1492,0,0
right,0.4,96,97,64,64,5.825972120156718,4,64,4.287362324210358,31.043478260869566,24,absorbing,193,25.514748834073544,109728,94,1524,0,0
